,Unnamed: 0,Dwelling Type,Zone Classification,Linear Feet of Street,Plot Size,Type of Road,Type of Alley,Shape of Property,Flatness of Property,Types of Utilities Available,Plot Configuration,Slope of Property,Locations within Ames City limits,Proximity to Various Conditions,Overall Material Finish of House,Overall Condition,Original Construction Date,Remodel Date of Property,Type of Roof,Roof Material,Exterior Covering on House,Masonry veneer type,Masonry veneer area,Exterior Quality of the Material,Present Exterior condition of the Material,Type of Foundation,Height of the basement,General condition of Basement,Walkout or garden-level walls,Basement Finished area rating,Total basement area in square foot,Type of heating,Heating Quality and Condition,Central Air Conditioning,Electrical system,Total living area in square feet,Bedrooms(Excluded Basement Bedrooms),Kitchens,Kitchen Quality,Total Rooms(excluding bathrooms),Home functionality,Fireplaces,Fireplace Quality,Garage location,The Year of Garage Built,Interior finish of the garage,Capacity of cars in Garage,Size of garage in square feet,Garage quality,Garage condition,Paved driveway,Fence quality,Month sold,Year Sold,Type of sale,Condition of sale,Sale Price,TotalBathrooms,Total porch area in square feet,Age of property,Price per square foot of property
825,825,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,114,14803,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northridge Heights,"Near positive off-site feature--park, greenbelt, etcNear positive off-site feature--park, greenbelt, etc",Very Excellent,Average,2007,2008,Hip,Standard (Composite) Shingle,Cement BoardCmentBd,Brick Face,816,Excellent,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Good Living QuartersUnfinished,2078,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,2084,2,1,Excellent,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2007,Finished,3,1220,Typical/Average,Typical/Average,Paved,No Fence,Jun,2008,Home just constructed and sold,Home was not completed when last assessed,385000,3.0,233,1,26.008241572654192
827,827,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,65,8529,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer West,NormalNormal,Good,Average,2001,2001,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,NA,0,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living QuartersUnfinished,1454,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1434,3,1,Good,6,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,2001,Rough Finished,2,527,Typical/Average,Typical/Average,Paved,No Fence,Apr,2009,Warranty Deed - Conventional,Normal Sale,189000,2.0,329,8,22.159690467815686
828,828,2-STORY 1946 & NEWER,Residential Low-Density,0,28698,Paved,No Alley Access,Moderately Irregular,Depression,All Public Utilities,Cul-De-Sac,Sever Slope,Clear Creek,NormalNormal,Average,Average,1967,1967,Flat,Gravel & Tar,PlywoodPlywood,NA,0,Average/Typical,Average/Typical,Poured Contrete,Good (90-99 inches),Good,Good Exposure,Low QualityAverage Living Quarters,1013,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,2126,3,1,Average/Typical,7,Minor Deductions 2,0,No Fireplace,Attached to the home,1967,Finished,2,538,Typical/Average,Typical/Average,Paved,No Fence,Jun,2009,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",185000,3.0,711,42,6.446442260784724
829,829,2-STORY PUD - 1946 & NEWER,Floating Village Residential,24,2544,Paved,Paved,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Somerset,NormalNormal,Good,Average,2005,2005,Gable,Standard (Composite) Shingle,Metal SidingMetal Siding,NA,0,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,600,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1223,2,1,Good,4,Typical Functionality,0,No Fireplace,Detached from home,2005,Rough Finished,2,480,Typical/Average,Typical/Average,Paved,No Fence,Jul,2006,Warranty Deed - Conventional,Normal Sale,147400,2.5,166,1,57.94025157232704
830,830,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,80,11900,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,North Ames,NormalNormal,Above Average,Average,1957,1957,Gable,Standard (Composite) Shingle,Hard BoardHard Board,Brick Face,387,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec RoomUnfinished,1392,Gas forced warm air furnace,Average/Typical,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),1392,3,1,Average/Typical,6,Typical Functionality,2,Good - Masonry Fireplace on the main level,Attached to the home,1957,Rough Finished,2,458,Typical/Average,Typical/Average,Paved,No Fence,Jun,2008,Warranty Deed - Conventional,Normal Sale,166000,2.5,192,51,13.949579831932773
831,831,2-STORY PUD - 1946 & NEWER,Floating Village Residential,30,3180,Paved,Paved,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Somerset,NormalNormal,Good,Average,2005,2005,Gable,Standard (Composite) Shingle,Metal SidingMetal Siding,NA,0,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,600,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1200,2,1,Good,4,Typical Functionality,0,No Fireplace,Detached from home,2005,Rough Finished,2,480,Typical/Average,Typical/Average,Paved,No Fence,Jun,2006,Warranty Deed - Conventional,Normal Sale,151000,2.5,166,1,47.484276729559745
832,832,2-STORY 1946 & NEWER,Residential Low-Density,44,9548,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Cul-De-Sac,Gentle Slope,College Creek,NormalNormal,Good,Above Average,2003,2003,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,Brick Face,223,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living QuartersUnfinished,941,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1829,3,1,Good,7,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,2003,Rough Finished,2,613,Typical/Average,Typical/Average,Paved,No Fence,Jan,2010,Warranty Deed - Conventional,Normal Sale,237000,3.5,231,7,24.82195224130708
833,833,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,100,10004,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,NormalNormal,Above Average,Above Average,1964,1964,Gable,Standard (Composite) Shingle,Hard BoardPlywood,Brick Face,180,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec RoomBelow Average Living Quarters,1516,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1516,3,1,Average/Typical,6,Typical Functionality,0,No Fireplace,Attached to the home,1964,Rough Finished,2,472,Typical/Average,Typical/Average,Paved,No Fence,Feb,2009,Warranty Deed - Conventional,Normal Sale,167000,1.5,152,45,16.69332267093163
834,834,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,75,7875,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,NormalNormal,Average,Above Average,1961,1961,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,Brick Face,136,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec RoomUnfinished,1144,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1144,3,1,Average/Typical,6,Typical Functionality,0,No Fireplace,Attached to the home,1961,Unfinished,2,456,Typical/Average,Typical/Average,Paved,Good Wood,Sep,2008,Warranty Deed - Conventional,Normal Sale,139950,2.0,0,47,17.771428571428572
835,835,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,60,9600,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer,NormalNormal,Below Average,Good,1950,1995,Gable,Standard (Composite) Shingle,Vinyl SidingHard Board,NA,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living QuartersUnfinished,1067,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1067,2,1,Good,4,Minor Deductions 2,0,No Fireplace,Attached to the home,1996,Unfinished,2,436,Typical/Average,Typical/Average,Paved,No Fence,Feb,2010,Warranty Deed - Conventional,Normal Sale,128000,2.0,290,60,13.333333333333334
836,836,1-STORY 1945 & OLDER,Residential Medium,90,8100,Paved,Paved,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Old Town,NormalNormal,Average,Above Average,1948,1973,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,NA,0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec RoomUnfinished,1559,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1559,2,1,Average/Typical,5,Minor Deductions 2,0,No Fireplace,Detached from home,1948,Unfinished,2,812,Typical/Average,Typical/Average,Paved,Good Wood,Jun,2007,Court Officer Deed/Estate,Normal Sale,153500,2.0,346,59,18.950617283950617
837,837,2-STORY PUD - 1946 & NEWER,Residential Medium,21,1680,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Briardale,NormalNormal,Above Average,Average,1973,1973,Gable,Standard (Composite) Shingle,Hard BoardHard Board,Brick Face,158,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living QuartersUnfinished,483,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,987,2,1,Average/Typical,5,Typical Functionality,0,No Fireplace,Detached from home,1973,Unfinished,1,264,Typical/Average,Typical/Average,Paved,No Fence,Nov,2008,Warranty Deed - Conventional,Normal Sale,100000,2.5,0,35,59.523809523809526
838,838,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,75,9525,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,College Creek,NormalNormal,Average,Above Average,1995,2006,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,NA,0,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,1099,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1099,3,1,Good,6,Typical Functionality,0,No Fireplace,Attached to the home,1999,Unfinished,1,352,Typical/Average,Typical/Average,Paved,No Fence,Jun,2008,Warranty Deed - Conventional,Normal Sale,144000,1.5,278,13,15.118110236220472
839,839,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,70,11767,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Edwards,NormalNormal,Average,Above Average,1946,1995,Gable,Standard (Composite) Shingle,Metal SidingMetal Siding,NA,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living QuartersUnfinished,768,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1200,3,1,Average/Typical,6,Typical Functionality,0,No Fireplace,Detached from home,1946,Unfinished,1,240,Typical/Average,Typical/Average,Paved,No Fence,May,2008,Warranty Deed - Conventional,Normal Sale,130500,1.0,0,62,11.090337384210079
840,840,2-STORY 1945 & OLDER,Residential High-Density,0,12155,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,South & West of Iowa State University,NormalNormal,Above Average,Very Good,1925,1950,Gable,Standard (Composite) Shingle,Wood SidingWood Siding,NA,0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living QuartersUnfinished,672,Gas forced warm air furnace,Average/Typical,No,Standard Circuit Breakers & Romex,1482,4,1,Fair,7,Typical Functionality,0,No Fireplace,Detached from home,1934,Unfinished,1,400,Typical/Average,Typical/Average,Partial Pavement,No Fence,Mar,2008,Warranty Deed - Conventional,Normal Sale,140000,2.0,254,83,11.517893870835048
841,841,2-STORY 1945 & OLDER,Residential Medium,60,10440,Paved,Gravel,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Old Town,NormalNormal,Average,Very Good,1904,2002,Gable,Standard (Composite) Shingle,Metal SidingMetal Siding,NA,0,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,650,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1539,3,1,Good,8,Typical Functionality,1,Poor - Ben Franklin Stove,Detached from home,1983,Unfinished,2,686,Good,Typical/Average,Partial Pavement,No Fence,Jun,2008,Warranty Deed - Conventional,Normal Sale,157500,2.0,216,104,15.086206896551724
842,842,SPLIT OR MULTI-LEVEL,Residential Low-Density,82,9020,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,NormalNormal,Above Average,Good,1966,1966,Gable,Standard (Composite) Shingle,Hard BoardHard Board,Brick Face,183,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Average Rec RoomAverage Living Quarters,1127,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1165,3,1,Average/Typical,6,Typical Functionality,0,No Fireplace,Attached to the home,1966,Rough Finished,2,490,Good,Good,Paved,Good Privacy,May,2008,Warranty Deed - Conventional,Normal Sale,174900,2.5,129,42,19.390243902439025
844,844,1-1/2 STORY FINISHED ALL AGES,Residential Medium,100,12665,Paved,Gravel,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Old Town,Adjacent to arterial streetNormal,Average,Very Good,1915,1950,Gable,Standard (Composite) Shingle,Wood SidingWood Siding,NA,0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,UnfinishedUnfinished,876,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1416,4,1,Average/Typical,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Detached from home,1949,Unfinished,3,720,Typical/Average,Typical/Average,Paved,No Fence,Jun,2008,Warranty Deed - Conventional,Normal Sale,153900,1.5,612,93,12.151598894591393
845,845,SPLIT FOYER,Residential Low-Density,0,16647,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Cul-De-Sac,Gentle Slope,Sawyer,Adjacent to East-West RailroadNormal,Average,Average,1975,1981,Gable,Standard (Composite) Shingle,Hard BoardHard Board,NA,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Average Living QuartersUnfinished,1390,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1701,3,1,Average/Typical,6,Minor Deductions 2,2,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Basement Garage,1975,Finished,2,611,Typical/Average,Typical/Average,Paved,No Fence,Jan,2007,Warranty Deed - Conventional,Normal Sale,171000,3.0,0,32,10.272121102901425
846,846,2-STORY 1946 & NEWER,Residential Low-Density,75,9317,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer West,NormalNormal,Good,Average,1993,1993,Gable,Standard (Composite) Shingle,Hard BoardHard Board,Brick Face,137,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living QuartersUnfinished,740,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1775,3,1,Good,7,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1993,Unfinished,2,425,Typical/Average,Typical/Average,Paved,No Fence,Jul,2009,Warranty Deed - Conventional,Normal Sale,213000,3.5,498,16,22.86143608457658
847,847,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,36,15523,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Cul-De-Sac,Gentle Slope,College Creek,NormalNormal,Average,Above Average,1972,1972,Gable,Standard (Composite) Shingle,Hard BoardPlywood,NA,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Below Average Living QuartersUnfinished,864,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,864,3,1,Average/Typical,5,Typical Functionality,1,Fair - Prefabricated Fireplace in the basement,Attached to the home,1972,Unfinished,1,338,Typical/Average,Typical/Average,Paved,No Fence,Aug,2009,Warranty Deed - Conventional,Normal Sale,133500,2.0,0,37,8.600141725181988
848,848,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,75,45600,Paved,No Alley Access,Moderately Irregular,Banked,All Public Utilities,Inside Plot,Gentle Slope,Clear Creek,NormalNormal,Above Average,Very Good,1908,1997,Gable,Standard (Composite) Shingle,Wood SidingWood Siding,NA,0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,907,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,2358,5,1,Average/Typical,10,Typical Functionality,1,Good - Masonry Fireplace on the main level,Detached from home,1908,Unfinished,2,360,Fair,Typical/Average,Paved,No Fence,Sep,2008,Warranty Deed - Conventional,Normal Sale,240000,3.0,701,100,5.2631578947368425
849,849,SPLIT OR MULTI-LEVEL,Residential Low-Density,80,9600,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Frontage on 2 sides of the property,Gentle Slope,Veenker,Adjacent to feeder streetNormal,Above Average,Good,1976,1994,Hip,Standard (Composite) Shingle,PlywoodPlywood,Brick Face,360,Good,Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,528,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1855,3,1,Average/Typical,7,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1976,Rough Finished,2,512,Typical/Average,Typical/Average,Paved,No Fence,Aug,2007,Warranty Deed - Conventional,Normal Sale,187000,2.5,213,31,19.479166666666668
850,850,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Medium,36,4435,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,College Creek,NormalNormal,Above Average,Average,2003,2003,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,Brick Face,170,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Good Living QuartersUnfinished,848,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,848,1,1,Good,3,Typical Functionality,0,No Fireplace,Attached to the home,2003,Finished,2,420,Typical/Average,Typical/Average,Paved,No Fence,Nov,2007,Warranty Deed - Conventional,Normal Sale,131500,2.0,140,4,29.650507328072152
851,851,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,0,3196,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Bloomington Heights,NormalNormal,Very Good,Average,2003,2003,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,Brick Face,40,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,UnfinishedUnfinished,1273,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1456,2,1,Good,7,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,2003,Finished,2,400,Typical/Average,Typical/Average,Paved,No Fence,May,2006,Warranty Deed - Conventional,Normal Sale,215000,2.0,163,3,67.27158948685857
852,852,2-1/2 STORY ALL AGES,Residential Low-Density,53,7128,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Crawford,NormalNormal,Good,Average,1941,1950,Gable,Standard (Composite) Shingle,Metal SidingMetal Siding,NA,0,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec RoomUnfinished,918,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1646,4,1,Average/Typical,7,Typical Functionality,2,Good - Masonry Fireplace on the main level,Detached from home,1941,Unfinished,1,240,Typical/Average,Typical/Average,Paved,Minimum Privacy,Aug,2007,Warranty Deed - Conventional,Normal Sale,164000,2.0,126,66,23.007856341189676
853,853,SPLIT OR MULTI-LEVEL,Residential Low-Density,0,12095,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,North Ames,NormalNormal,Above Average,Above Average,1964,1964,Gable,Standard (Composite) Shingle,Metal SidingHard Board,Brick Face,115,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Average Rec RoomUnfinished,1127,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1445,3,1,Average/Typical,7,Typical Functionality,1,Fair - Prefabricated Fireplace in the basement,Attached to the home,1964,Rough Finished,2,645,Typical/Average,Typical/Average,Paved,Minimum Privacy,Aug,2009,Warranty Deed - Conventional,Normal Sale,158000,1.5,180,45,13.063249276560562
854,854,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,102,17920,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer,NormalNormal,Average,Below Average,1955,1974,Hip,Standard (Composite) Shingle,Wood SidingPlywood,NA,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,Average Living QuartersAverage Rec Room,1763,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1779,3,1,Average/Typical,6,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,1955,Unfinished,2,454,Typical/Average,Typical/Average,Paved,No Fence,Jul,2006,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",170000,2.5,730,51,9.486607142857142
855,855,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,6897,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Sawyer,NormalNormal,Average,Very Good,1962,2010,Gable,Standard (Composite) Shingle,Hard BoardHard Board,NA,0,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living QuartersUnfinished,1040,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1040,3,1,Average/Typical,6,Typical Functionality,0,No Fireplace,Detached from home,1962,Unfinished,1,260,Typical/Average,Typical/Average,Paved,No Fence,Apr,2010,Warranty Deed - Conventional,Normal Sale,127000,2.5,104,48,18.41380310279832
856,856,SPLIT OR MULTI-LEVEL,Residential Low-Density,0,10970,Paved,No Alley Access,Slightly Irregular,Depression,All Public Utilities,Inside Plot,Moderate Slope,College Creek,NormalNormal,Above Average,Above Average,1978,1978,Gable,Standard (Composite) Shingle,PlywoodHard Board,NA,0,Average/Typical,Average/Typical,Cinder Block,Good (90-99 inches),Good,Good Exposure,Good Living QuartersLow Quality,940,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1026,3,1,Average/Typical,5,Typical Functionality,0,No Fireplace,Detached from home,1981,Unfinished,2,576,Typical/Average,Fair,Paved,Minimum Privacy,Oct,2008,Warranty Deed - Conventional,Normal Sale,147000,2.0,34,30,13.400182315405651
857,857,2-STORY 1946 & NEWER,Residential Low-Density,65,8125,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Gilbert,NormalNormal,Above Average,Average,1994,1995,Gable,Standard (Composite) Shingle,Hard BoardHard Board,NA,0,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,702,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1481,3,1,Average/Typical,6,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1994,Finished,2,343,Typical/Average,Typical/Average,Paved,No Fence,Mar,2009,Warranty Deed - Conventional,Normal Sale,174000,2.5,36,15,21.415384615384614
858,858,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,80,10400,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northwest Ames,NormalNormal,Good,Average,1976,1976,Gable,Standard (Composite) Shingle,Hard BoardHard Board,Brick Face,189,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,1090,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1370,3,1,Average/Typical,6,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1976,Rough Finished,2,479,Typical/Average,Typical/Average,Paved,Minimum Privacy,Jun,2009,Warranty Deed - Conventional,Sale between family members,152000,2.0,0,33,14.615384615384615
859,859,2-STORY 1946 & NEWER,Residential Low-Density,0,11029,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Northwest Ames,Adjacent to positive off-site featureNormal,Above Average,Good,1968,1984,Gable,Standard (Composite) Shingle,Hard BoardHard Board,Brick Face,220,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,Below Average Living QuartersUnfinished,1054,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,2654,4,1,Good,9,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,1968,Unfinished,2,619,Typical/Average,Typical/Average,Paved,No Fence,Aug,2006,Warranty Deed - Conventional,Normal Sale,250000,3.5,287,38,22.667512920482366
860,860,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,55,7642,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Crawford,NormalNormal,Good,Very Good,1918,1998,Gable,Standard (Composite) Shingle,Wood SidingWood Siding,NA,0,Good,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,912,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1426,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Detached from home,1925,Unfinished,1,216,Typical/Average,Typical/Average,Paved,Good Privacy,Jun,2007,Warranty Deed - Conventional,Normal Sale,189950,1.5,240,89,24.856058623397015
861,861,2 FAMILY CONVERSION - ALL STYLES AND AGES,Residential Low-Density,75,11625,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer,NormalNormal,Average,Below Average,1965,1965,Hip,Standard (Composite) Shingle,PlywoodHard Board,NA,0,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,Below Average Living QuartersUnfinished,1039,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1039,3,1,Average/Typical,6,Typical Functionality,0,No Fireplace,Attached to the home,1965,Unfinished,2,504,Typical/Average,Typical/Average,Paved,No Fence,Apr,2010,Warranty Deed - Conventional,Normal Sale,131500,2.5,0,45,11.311827956989248
